run,Iteration,Fitness,ExecutionTime,Discrete,Real,Accuracy
0,0,90.9090909090909,1.0620920658111572,[0 0 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 0 1 0 0],[28826.70613147 63375.21240894],100.0
0,1,91.79356264600148,1.9083471298217773,[1 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0],[88083.71893515  2552.00035565],99.96922603477458
0,2,91.79356264600148,2.7641379833221436,[1 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0],[88083.71893515  2552.00035565],99.96922603477458
0,3,91.81818181818181,3.664952039718628,[1 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0],[88083.71893515  2552.00035565],100.0
0,4,91.81818181818181,4.430040121078491,[1 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0],[88083.71893515  2552.00035565],100.0
0,5,91.81818181818181,6.3701159954071045,[1 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0],[88083.71893515  2552.00035565],100.0
0,6,92.72727272727272,6.900001049041748,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,7,92.72727272727272,8.151587009429932,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,8,92.72727272727272,8.83470106124878,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,9,92.72727272727272,10.165686130523682,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,10,92.72727272727272,10.917081117630005,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,11,92.72727272727272,12.099529266357422,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,12,92.72727272727272,13.008496046066284,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,13,92.72727272727272,13.979897022247314,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,14,92.72727272727272,14.766133069992065,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,15,92.72727272727272,15.50148606300354,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
0,16,92.72727272727272,16.167232036590576,[0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1],[16243.38225588 16518.93480229],100.0
