run,Iteration,Fitness,ExecutionTime,Discrete,Real,Accuracy
0,0,90.53866030610217,0.04339003562927246,[1 1 1 0 1 1 0 1 0],[53232.67059661 86923.74440043],99.28443649373881
0,1,92.26396342675412,0.07249212265014648,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,2,92.26396342675412,0.11147904396057129,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,3,92.26396342675412,0.1455681324005127,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,4,92.26396342675412,0.1863701343536377,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,5,92.26396342675412,0.21730518341064453,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,6,92.26396342675412,0.2561500072479248,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,7,92.26396342675412,0.28967714309692383,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,8,92.26396342675412,0.3329591751098633,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],95.8855098389982
0,9,93.04710793082887,0.3694331645965576,[0 1 0 0 1 1 0 0 1],[41291.72662388 92575.42948144],99.6422182468694
0,10,93.04710793082887,0.409404993057251,[0 1 0 0 1 1 0 0 1],[41291.72662388 92575.42948144],99.6422182468694
0,11,93.04710793082887,0.443267822265625,[0 1 0 0 1 1 0 0 1],[41291.72662388 92575.42948144],99.6422182468694
0,12,93.04710793082887,0.4863600730895996,[0 1 0 0 1 1 0 0 1],[41291.72662388 92575.42948144],99.6422182468694
0,13,93.98131584178095,0.5185601711273193,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],98.03220035778175
0,14,93.98131584178095,0.548774003982544,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],98.03220035778175
0,15,93.98131584178095,0.5855281352996826,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],98.03220035778175
0,16,93.98131584178095,0.6133179664611816,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],98.03220035778175
0,17,93.98131584178095,0.6515049934387207,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],98.03220035778175
0,18,93.98131584178095,0.6857109069824219,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],98.03220035778175
0,19,93.98131584178095,0.7211921215057373,[1 1 0 0 1 0 0 0 0],[28944.96428455 63412.15737751],98.03220035778175
1,0,90.9679984098589,0.040122032165527344,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],99.82110912343471
1,1,90.9679984098589,0.07504510879516602,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],99.82110912343471
1,2,91.11111111111111,0.1154029369354248,[1 0 0 1 1 0 1 1 1],[82354.95675606 83362.7838677 ],100.0
1,3,91.11111111111111,0.14945316314697266,[1 0 0 1 1 0 1 1 1],[82354.95675606 83362.7838677 ],100.0
1,4,91.11111111111111,0.19247889518737793,[1 0 0 1 1 0 1 1 1],[82354.95675606 83362.7838677 ],100.0
1,5,91.11111111111111,0.22608208656311035,[1 0 0 1 1 0 1 1 1],[82354.95675606 83362.7838677 ],100.0
1,6,92.61776982707218,0.26485610008239746,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],99.10554561717353
1,7,92.61776982707218,0.29756808280944824,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],99.10554561717353
1,8,92.61776982707218,0.3363828659057617,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],99.10554561717353
1,9,92.61776982707218,0.3685939311981201,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],99.10554561717353
1,10,92.7608825283244,0.4037630558013916,[1 0 0 1 1 0 1 1 1],[82354.95675606 83362.7838677 ],99.28443649373881
1,11,92.7608825283244,0.4401559829711914,[1 0 0 1 1 0 1 1 1],[82354.95675606 83362.7838677 ],99.28443649373881
1,12,92.97952693301531,0.475538969039917,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],96.77996422182468
1,13,92.97952693301531,0.5082302093505859,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],96.77996422182468
1,14,92.97952693301531,0.5458359718322754,[0 0 0 1 1 0 0 1 0],[76595.78300027 99201.3465854 ],96.77996422182468
1,15,93.12263963426756,0.583050012588501,[0 0 0 1 0 0 0 1 0],[ 5084.60854989 52622.06956291],96.95885509838999
1,16,93.12263963426756,0.6164979934692383,[0 0 0 1 0 0 0 1 0],[ 5084.60854989 52622.06956291],96.95885509838999
1,17,93.12263963426756,0.6485199928283691,[0 0 0 1 0 0 0 1 0],[ 5084.60854989 52622.06956291],96.95885509838999
1,18,93.12263963426756,0.6870419979095459,[0 0 0 1 0 0 0 1 0],[ 5084.60854989 52622.06956291],96.95885509838999
1,19,93.12263963426756,0.7131729125976562,[0 0 0 1 0 0 0 1 0],[ 5084.60854989 52622.06956291],96.95885509838999
2,0,92.18843172331546,0.03627324104309082,[0 1 1 0 1 0 1 1 0],[22175.61391605 78478.90557415],98.56887298747765
2,1,92.7608825283244,0.06732630729675293,[0 1 0 1 0 0 1 1 1],[11546.05564162 70461.81590809],99.28443649373881
2,2,92.7608825283244,0.10386300086975098,[0 1 0 1 0 0 1 1 1],[11546.05564162 70461.81590809],99.28443649373881
