dataset_name,r_runs,n_pop,n_iters,chaotic_constant,repair_solution,mean_accuracy,std_accuracy,mean_gamma,std_gamma,mean_c,std_c,mean_n_features,std_n_features
(Large) Mushroom,10,5,20,False,False,99.54461538461538,0.5450237495503898,47.50270418584308,32.219305588912,46.53098627991452,24.373443553423805,6.2,1.5362291495737217
(Large) Mushroom,10,5,20,True,False,99.74769230769229,0.2702792769968944,47.77833347676116,26.24864954428788,48.19629002235852,22.271272808319065,10.5,0.9219544457292888
(Large) Mushroom,10,5,20,True,True,99.35384615384615,1.3689368742496753,46.5126655896256,35.212128479279414,61.61607453831812,27.07604072618794,10.0,1.7888543819998317
(Mid) Spambase,10,5,20,False,False,99.63083604777417,0.22357503020601813,43.94315078394121,26.890959548847615,58.60475536047265,24.85674550426436,21.4,2.6907248094147422
(Mid) Spambase,10,5,20,True,False,99.50054288816504,0.9492939411246227,59.30653007391324,30.703124655665793,51.48316476297914,29.10761728048705,24.5,3.138470965295043
(Mid) Spambase,10,5,20,True,True,99.47882736156352,0.4575745386689587,60.23337061058736,30.277633787605748,37.30035961529664,25.50852623123389,26.7,4.1
,
